id,low,high,statement
BAP103,neat,sloppy,"I usually leave tasks unfinished with a noticeable lack of attention to detail."
BAP104,clear,complex,"I prefer to analyze situations by considering many interconnected and subtle variables."
BAP105,unaffected,dramatic,"I tend to exaggerate my reactions to events to make them more impactful."
BAP106,reserved,touchy,"I often become easily offended by casual comments."
BAP107,rational,superstitious,"I frequently rely on luck, omens, or rituals to influence outcomes."
BAP108,simple,complicated,"I prefer my routines, processes, and life to be intricate and detailed."
BAP109,flexible,adamant,"I refuse to change my point of view, even when presented with strong counter-evidence."
BAP110,calm,intense,"I approach most situations with a high degree of emotional and mental energy."
BAP111,gentle,harsh,"I frequently use very stern and severe language when speaking to others."
BAP112,systematic,random,"I approach tasks without any particular order or organized structure."
BAP113,trusting,skeptical,"I rarely accept new information without first verifying its source and accuracy."
BAP114,unassuming,haughty,"I often act superior to others, expecting special deference and treatment."
BAP115,optimistic,cynical,"I believe that self-interest is the primary motivation for most people's good deeds."
BAP116,careless,meticulous,"I pay extremely close attention to every minor detail in my work."
BAP117,accommodating,obstructive,"I deliberately create difficulties or delays for others when they are pursuing a goal."
BAP118,open-minded,dogmatic,"I strictly adhere to my established set of beliefs and reject opposing views."
BAP119,soft-spoken,loud,"I always speak with enough volume to ensure that everyone nearby can hear me."
BAP120,calm,excitable,"I react to surprising news with screaming and jumping."
BAP121,patient,hasty,"I often make decisions very quickly without fully thinking them through."
BAP122,down-to-earth,pretentious,"I often use overly complex language and cultural references to impress people."
BAP123,predictable,unconventional,"I intentionally adopt behaviors and styles that defy social norms."
BAP124,generous,possessive,"I feel a strong need to maintain absolute control over my belongings and territory."
BAP125,spontaneous,measured,"I carefully calculate and weigh all my actions before executing them."
BAP126,lenient,severe,"I believe that punishments for mistakes should be extremely strict and unforgiving."
BAP127,unemotional,sentimental,"I cherish old memories and hold deep emotional attachments to certain objects."
BAP128,vigilant,carefree,"I tend to ignore potential problems, believing that things will work themselves out."
BAP129,accepting,judgmental,"I frequently form and express negative opinions about the character of other people."
BAP130,stable,neurotic,"I frequently feel overwhelmed by stress and worry about everyday situations."
BAP131,collaborative,competitive,"I constantly strive to outperform others in every setting."
BAP132,polite,brash,"I frequently speak in a disrespectful and aggressive manner."
BAP133,aware,oblivious,"I rarely notice the emotional states or needs of those around me."
BAP134,reliable,untrustworthy,"I often fail to keep my promises or fulfill my commitments."
BAP135,easy,difficult,"I intentionally make tasks or processes harder than they need to be."
BAP136,unassuming,flashy,"I choose clothing and accessories that are designed to attract attention."
BAP137,pensive,oblivious,"I prefer to think deeply about a subject before offering any commentary."
BAP138,friendly,withdrawn,"I tend to keep to myself and actively avoid engaging in social interaction."
BAP139,honest,secretive,"I intentionally keep a great deal of my life hidden from close friends and family."
BAP140,calm,frenzied,"I often feel a powerful, uncontrollable urge to rush and complete tasks immediately."
BAP141,casual,meticulous,"I approach every task with intense focus on organization and flawless execution."
BAP142,tolerant,intolerant,"I am unwilling to accept viewpoints or lifestyles that differ significantly from mine."
BAP143,brave,timid,"I often withdraw from situations that require confrontation or personal risk."
BAP144,warm,cold,"I maintain an emotional distance from others and rarely show affection."
BAP145,clear-headed,confused,"I often feel mentally scattered and struggle to make sense of information."
BAP146,open,closed,"I am very reluctant to discuss my ideas or beliefs with others."
BAP147,forgiving,resentful,"I continue to feel bitterness towards people long after a conflict has passed."
BAP148,subtle,obvious,"I prefer to express myself in a clear, overt, and easily understood manner."
BAP149,positive,negative,"I frequently find myself dwelling on the drawbacks and failures of a situation."
BAP150,productive,idle,"I often choose to spend my time doing absolutely nothing of value."
BAP151,simple,complex,"I believe that most life problems are best solved through intricate and multi-layered solutions."
BAP152,playful,somber,"I typically maintain a serious and grave demeanor in most social situations."
BAP153,responsible,irresponsible,"I frequently neglect my duties and fail to meet my obligations."
BAP154,stable,hysterical,"I often react to unexpected news with an extreme, over-the-top display of emotion."
BAP155,accepting,preachy,"I often try to persuade others to adopt my personal values and morals."
BAP156,logical,intuitive,"I rely heavily on gut feelings and instincts rather than facts and reason when making choices."
BAP157,generous,stingy,"I am reluctant to spend money, even when the purchase is necessary."
BAP158,spontaneous,structured,"I always follow a precise schedule and plan for every single day."
BAP159,kind,cruel,"I often find amusement in the misfortune or suffering of others."
BAP160,relaxed,stressed,"I frequently feel burdened and overwhelmed by the demands of life."
BAP161,aware,dense,"I am typically the last person to understand a joke or a subtle social cue."
BAP162,cooperative,rebellious,"I feel a strong inclination to oppose rules and defy authority figures."
BAP163,self-sufficient,needy,"I frequently reach out to others for emotional support and validation."
BAP164,calm,fidgety,"I constantly move my hands or shift my position when sitting down."
BAP165,honest,evasive,"I frequently answer questions with statements that are misleading or incomplete."
BAP166,focused,daydreaming,"I often find myself mentally escaping into elaborate fantasies during the day."
BAP167,unassuming,pompous,"I frequently use overly formal language and boast about my importance."
BAP168,patient,volatile,"My moods are characterized by frequent and unpredictable changes."
BAP169,conventional,radical,"I constantly seek out and promote ideas and beliefs that are extreme or revolutionary."
BAP170,flexible,inflexible,"I struggle to adjust my behavior or plans when unexpected issues arise."
BAP171,helpful,self-centered,"I am primarily focused on how a situation benefits or affects me personally."
BAP172,calm,nervous,"I often exhibit physical signs of anxiety, like sweating palms or a racing heart."
BAP173,diligent,careless,"I often rush through tasks, making many mistakes due to a lack of attention."
BAP174,humble,arrogant,"I believe that my abilities and talents are vastly superior to those of the average person."
BAP175,open,secretive,"I intentionally keep a significant portion of my life completely hidden from everyone."
BAP176,soft,firm,"I rarely compromise and usually stick very strongly to my initial position."
BAP177,quick,slow,"I typically require a great deal of time to reach a final decision."
BAP178,supportive,antagonistic,"I frequently challenge and argue against the opinions of those around me."
BAP179,optimistic,fatalistic,"I believe that negative events are inevitable and that I have no power to change them."
BAP180,simple,elaborate,"I prefer to do things in a highly detailed, intricate, and polished manner."
BAP181,reliable,unpredictable,"My behavior and reactions are frequently inconsistent and surprising to others."
BAP182,polite,discourteous,"I frequently use disrespectful or offensive language in everyday conversation."
BAP183,private,exhibitionist,"I enjoy deliberately shocking people with my unconventional behavior and dress."
BAP184,patient,testy,"I am easily bothered and express my irritation quickly and sharply."
BAP185,tough,vulnerable,"I often openly share my deep feelings and insecurities with others."
BAP186,cautious,daring,"I frequently participate in activities that involve a high degree of danger or risk."
BAP187,practical,abstract,"I spend a lot of time pondering purely theoretical ideas and philosophical concepts."
BAP188,satisfied,covetous,"I frequently desire what other people possess, whether it is material or intangible."
BAP189,warm,aloof,"I tend to keep people at an emotional distance, rarely showing personal interest."
BAP190,calm,agitated,"I am often in a state of restless energy and nervous excitement."
BAP191,consistent,inconsistent,"My beliefs, interests, and motivations frequently shift without clear reason."
BAP192,ethical,unscrupulous,"I am willing to bend or break moral rules to achieve what I want."
BAP193,thorough,cursory,"I typically perform tasks hastily, paying very little attention to details."
BAP194,open-minded,closed-minded,"I immediately reject any idea that conflicts with my existing worldview."
BAP195,funny,serious,"I rarely crack jokes or try to bring humor into a conversation."
BAP196,social,introverted,"I strongly prefer solitary activities to spending time with large groups of people."
BAP197,mature,immature,"I often display childish behavior, such as temper tantrums or excessive silliness."
BAP198,cooperative,unyielding,"I insist on doing things my way and reject input from others."
BAP199,active,passive,"I tend to wait for others to take the lead rather than initiating action myself."
BAP200,clear,muddled,"I often struggle to organize my thoughts into a coherent message."
BAP201,simple,gaudy,"I prefer items that are excessively bright, ornate, and attention-grabbing."
BAP202,friendly,cold,"I treat people with noticeable emotional detachment and reserve."
BAP203,cautious,risky,"I am constantly looking for opportunities to take big chances."
BAP204,stable,turbulent,"My emotional life feels chaotic and is characterized by many intense highs and lows."
BAP205,trusting,cynical,"I believe that most human actions are motivated by pure self-interest."
BAP206,flexible,rigid,"I insist that everything must be done exactly according to a predetermined procedure."
BAP207,generous,miserly,"I experience distress at the thought of spending money, even when necessary."
BAP208,candid,guarded,"I carefully conceal my true feelings and opinions from others."
BAP209,systematic,disorganized,"I frequently lose things and struggle to keep my affairs in order."
BAP210,relaxed,anxious,"I often feel a powerful, pervasive sense of worry about everyday situations."
BAP211,modest,vain,"I spend a lot of time admiring my own appearance and reflecting on my virtues."
BAP212,down-to-earth,eccentric,"I often express myself through highly unusual and unconventional mannerisms."
BAP213,patient,rushed,"I often feel a strong pressure to complete tasks as quickly as possible."
BAP214,open,uncommunicative,"I rarely speak or share my thoughts during group settings."
BAP215,practical,idealistic,"I often prioritize achieving an imagined, perfect outcome over a realistic one."
BAP216,kind,mean,"I frequently make deliberately harsh or spiteful comments to others."
BAP217,vigilant,neglectful,"I often forget about my responsibilities and fail to maintain important things."
BAP218,humble,supercilious,"I frequently treat people as if they are intellectually or socially inferior to me."
BAP219,firm,lenient,"I am very flexible about rules and rarely enforce punishments."
BAP220,simple,abstract,"I enjoy contemplating complex concepts that have no immediate real-world application."
BAP221,wary,gullible,"I am often easily fooled or misled by others."
BAP222,serious,playful,"I often introduce light-heartedness, jokes, and teasing into social interactions."
BAP223,conventional,experimental,"I constantly try new, untested, and original ways of doing things."
BAP224,private,revealing,"I frequently share highly intimate details about my personal life with many people."
BAP225,easygoing,contentious,"I frequently look for arguments and confrontations with others."
BAP226,productive,unmotivated,"I lack the internal drive to start or complete necessary work."
BAP227,polite,offensive,"I frequently make remarks that are considered rude or inappropriate by others."
BAP228,present,distracted,"I often find it difficult to pay attention to what is currently happening."
BAP229,confident,insecure,"I often doubt my own abilities and feel generally inadequate."
BAP230,assertive,timid,"I avoid speaking up for myself, even when I have a strong opinion."
BAP231,patient,impatient,"I feel an intense need for instant gratification and struggle with delays."
BAP232,loyal,faithless,"I frequently betray the trust of my friends or colleagues for personal gain."
BAP233,precise,approximate,"I rarely worry about minor errors and am comfortable with rough estimates."
BAP234,supportive,disapproving,"I frequently voice my strong criticism of other people's choices."
BAP235,🥰,🙃,"I often react to sincere compliments with a light, witty skepticism."
BAP236,🥴,🥳,"My reaction to success is typically characterized by unbridled, energetic celebration."
BAP237,😎,🧐,"I prefer to approach situations with a deep, careful, and analytical mindset."
BAP238,😭,😀,"Even when faced with bad news, I tend to maintain a cheerful and positive demeanor."
BAP239,🤑,🤠,"My primary life goals revolve around seeking rugged experiences and an authentic lifestyle."
BAP240,👽,🤡,"In a social setting, I naturally gravitate toward being the center of attention and making others laugh."
BAP241,💔,💝,"I view past romantic endings as positive experiences that I hold with loving gratitude."
BAP242,🤖,👻,"My important decisions are mainly guided by my gut feelings and emotional intuition."
BAP243,💩,🌟,"When I attempt a new task, the result is usually praised by everyone for being perfect."
BAP244,💪,🧠,"When faced with a difficult physical task, I immediately seek out a clever, non-forceful solution."
BAP245,🙋‍♂️,🙅‍♂️,"My first instinct upon hearing a new proposal is to immediately reject the idea."
BAP246,👨‍⚕️,👨‍🔧,"I am most interested in solving problems that involve fixing or building broken mechanical systems."
BAP247,👩‍🔬,👩‍🎤,"I find the role of a passionate performer, seeking fame and self-expression, more appealing."
BAP248,😈,😇,"Given the choice, I always choose the path that is innocently good and morally correct."
BAP249,🤔,🤫,"When a controversial question arises, I prefer to suppress my thoughts and remain completely silent."
BAP250,🐘,🐀,"I approach new tasks with a quick, agile style, prioritizing speed and flexibility."
BAP251,🐮,🐷,"I aim for a rich, indulgent lifestyle, especially concerning food and personal pleasure."
BAP252,🐴,🦄,"I believe my personal existence is magical, unique, and destined for mythical achievements."
BAP253,🐩,🐒,"My preferred demeanor is wild, messy, and completely unrestricted by social norms."
BAP254,🚴,🏋️‍♂️,"My ideal physical activity is a short, intense workout focused on building strength."
BAP255,🤺,🏌,"When in conflict, I rely on measured, technical, and long-term strategic planning."
BAP256,💃,🧕,"When I am in public, I strive to remain modest, quiet, and personally reserved."
BAP257,🧙,👨‍🚀,"I am primarily interested in finding solutions through practical engineering and technological advancement."
BAP258,🐐,🦒,"I see myself as having an aloof, visionary nature, always reaching for high, distant goals."
BAP259,🦇,🐿,"I am most active, alert, and productive during the hours of full sunlight."
BAP260,😬,😏,"When facing a major challenge, I feel a smug sense of calm superiority and confidence."
BAP261,🤐,😜,"I enjoy stirring up curiosity by playfully hinting at secrets rather than staying silent."
BAP262,🤣,😊,"When amused, my response is typically limited to a gentle, pleasant smile."
BAP263,🧗,🛌,"Given free time, I will always choose activities that maximize rest and physical comfort."
BAP264,🥾,👟,"When going for a walk, I prefer to wear light, flexible, and speedy footwear."
BAP265,🎩,🧢,"My personal style is best described as casual, sporty, and easily accessible."
BAP266,📈,📉,"I feel that my professional career is currently stagnant or in a state of decline."
BAP267,open-minded,rigid,"I strongly adhere to my established beliefs and refuse to consider alternatives."
BAP268,calm,excitable,"I react to most small events with an exaggerated burst of enthusiasm or alarm."
BAP269,easygoing,perfectionist,"I believe that every task must be executed flawlessly, down to the smallest detail."
BAP270,active,passive,"I tend to simply watch situations unfold rather than participating in them."
BAP271,polite,blunt,"I frequently express my opinions directly and without any concern for politeness."
BAP272,humble,vain,"I spend a lot of time focused on my appearance and how others perceive my success."
BAP273,consistent,erratic,"My behavior and interests are often unpredictable and constantly changing."
BAP274,supportive,demanding,"I frequently make high and sometimes unreasonable requests of other people."
BAP275,deep,superficial,"I prefer to keep conversations light, focusing on fashion, gossip, and trivial matters."
BAP276,generous,greedy,"I am constantly focused on accumulating wealth and possessions for myself."
BAP277,clear,complicated,"I prefer my plans and explanations to be highly detailed and intricate."
BAP278,patient,hotheaded,"I often lash out with anger or frustration at minor annoyances."
BAP279,funny,dull,"I rarely contribute any humor or wit to conversations."
BAP280,conventional,eccentric,"I often behave in ways that are highly unusual and outside the norm."
BAP281,private,public,"I enjoy being the center of attention in large social gatherings."
BAP282,reliable,undependable,"I frequently make promises that I fail to keep."
BAP283,caring,callous,"I have a deep sense of detachment and indifference toward the suffering of others."
BAP284,practical,theoretical,"I spend a great deal of time discussing purely abstract concepts."
BAP285,mature,childish,"I frequently act silly or immature to avoid facing serious issues."
BAP286,fast,slow,"I require a long time to begin a task, even a simple one."
BAP287,friendly,hostile,"I often view the world and new people with suspicion and resentment."
BAP288,forgiving,vengeful,"I actively look for ways to retaliate against people who have wronged me."
BAP289,optimistic,pessimistic,"I believe that bad luck and failure are the most likely outcomes for me."
BAP290,loyal,inconstant,"I frequently shift my allegiances and abandon projects or relationships quickly."
BAP291,calm,frenzied,"I often feel a powerful, nervous energy that pushes me to hurry through everything."
BAP292,honest,dishonest,"I frequently lie or mislead people to make myself look better."
BAP293,creative,imitative,"I consciously try to copy the style and methods of others rather than innovate."
BAP294,simple,complex,"I always search for the most intricate and multi-faceted explanation for an event."
BAP295,tidy,slovenly,"I frequently fail to clean up after myself, leaving my space messy."
BAP296,open,closed,"I am very uncomfortable with sharing my feelings and personal life with others."
BAP297,cautious,daring,"I often feel compelled to take risks that others would consider reckless."
BAP298,strict,lax,"I rarely enforce rules and allow a great deal of leeway in behavior."
BAP299,polite,rude,"I rarely use formal etiquette and often speak without much courtesy."
BAP300,independent,clinging,"I constantly seek reassurance and rely heavily on the opinions of close friends."
BAP301,tough,sensitive,"I am easily overwhelmed by intense emotions and cry frequently."
BAP302,modest,bragging,"I frequently talk about my possessions and achievements in a boastful way."
BAP303,active,sedentary,"I prefer to spend the majority of my free time sitting or lying down."
BAP304,clear,ambiguous,"I often use vague or indirect language to avoid committing to a specific statement."
BAP305,flexible,uncompromising,"I stubbornly refuse to consider alternative ways of doing things."
BAP306,humble,conceited,"I believe I am exceptionally talented and smarter than almost everyone I meet."
BAP307,prepared,unready,"I consistently find myself lacking the necessary resources or information for a task."
BAP308,calm,volatile,"My moods are very unpredictable and can change rapidly without warning."
BAP309,wary,trusting,"I typically accept what people tell me at face value without questioning them."
BAP310,simple,abstract,"I am preoccupied with theoretical and philosophical issues rather than practical ones."
BAP311,patient,quick-tempered,"I become frustrated and angry very easily."
BAP312,conventional,novel,"I constantly seek out and adopt new, original, and innovative ideas."
BAP313,generous,selfish,"I always put my personal comfort and well-being before the needs of others."
BAP314,stable,fickle,"My interests, goals, and even my personality seem to shift often."
BAP315,aware,unobservant,"I tend to overlook details and rarely notice changes in my environment."
BAP316,responsible,careless,"I frequently make mistakes due to my lack of attention and rushing."
BAP317,polite,hostile,"I am often unfriendly and openly antagonistic towards new people."
BAP318,open,secretive,"I intentionally withhold a lot of important personal information from others."
BAP319,cautious,reckless,"I frequently engage in spontaneous, dangerous activities without thought for the risks."
BAP320,realistic,romantic,"I often view the world through an idealized, overly sentimental lens."
BAP321,tough,soft,"I find it nearly impossible to refuse a request, even if it is inconvenient for me."
BAP322,logical,emotional,"I allow my feelings and subjective experiences to heavily influence my final decisions."
BAP323,diligent,lazy,"I avoid physical or mental effort whenever possible."
BAP324,leader,follower,"I feel most comfortable when someone else is telling me what to do."
BAP325,cheerful,glum,"I frequently feel deep sadness or a persistent lack of joy."
BAP326,friendly,withdrawn,"I actively avoid social events and prefer to spend my time in solitude."
BAP327,honest,unscrupulous,"I am willing to exploit loopholes or engage in morally questionable acts to win."
BAP328,thrifty,wasteful,"I often buy things I don't need and dispose of usable items unnecessarily."
BAP329,organized,disordered,"My work, plans, and possessions are generally messy and difficult to navigate."
BAP330,stable,anxious,"I often feel a low-level, continuous fear about various aspects of my life."
BAP331,modest,flashy,"I choose clothing and accessories that are vibrant, extravagant, and designed to attract attention."
BAP332,easygoing,contentious,"I frequently seek out debates and enjoy having disagreements with others."
BAP333,simple,complex,"I prefer to use overly sophisticated and intricate explanations for even simple concepts."
BAP334,warm,cold,"I maintain a strictly professional and distant relationship with most people I meet."
BAP335,patient,impatient,"I easily become restless and irritable when things do not happen immediately."
BAP336,conventional,unconventional,"I intentionally embrace non-traditional and unusual behaviors and lifestyles."
BAP337,supportive,critical,"I frequently point out the shortcomings and errors of my friends or colleagues."
BAP338,prepared,improvised,"I prefer to deal with situations as they arise, without any prior planning."
BAP339,calm,dramatic,"I tend to overreact to small events, viewing them as major crises."
BAP340,candid,deceitful,"I frequently use misleading statements or misrepresent facts to get what I want."
BAP341,tolerant,biased,"I judge people quickly based on superficial traits or group affiliation."
BAP342,vigilant,careless,"I frequently miss important deadlines and overlook crucial details in my tasks."
BAP343,subtle,overt,"I prefer to communicate my feelings and intentions in a loud and unmistakable way."
BAP344,satisfied,ambitious,"I constantly strive to improve my position and achieve bigger, better goals."
BAP345,clear,vague,"I often use language that is ambiguous and leaves room for multiple interpretations."
BAP346,friendly,aloof,"I tend to be emotionally detached and distant from the people around me."
BAP347,tough,emotional,"I frequently cry and openly express strong feelings when faced with difficult situations."
BAP348,spontaneous,cautious,"I prefer to meticulously plan every step of an action before I proceed."
BAP349,accepting,judgmental,"I often form negative conclusions about the character and morals of others."
BAP350,optimistic,fatalistic,"I believe that outcomes are predetermined by negative forces beyond my control."
BAP351,reliable,unpredictable,"My behavior and reactions are frequently inconsistent and surprise even me."
BAP352,simple,ornate,"I surround myself with objects that are highly complex and intricately detailed."
BAP353,humorous,somber,"I typically maintain a serious and grave expression and rarely smile."
BAP354,aware,oblivious,"I rarely notice the subtle emotional signals or changes in other people's behavior."
BAP355,responsible,frivolous,"I often treat my obligations and important decisions with a lack of seriousness."
BAP356,calm,agitated,"I am often in a state of nervous tension and restless movement."
BAP357,lenient,strict,"I believe that rules must be rigidly enforced and mistakes must be met with stern punishment."
BAP358,private,gossipy,"I often share rumors and private information about others with various people."
BAP359,loyal,traitorous,"If a friend makes a mistake, I immediately turn them over to the relevant authority."
BAP360,flexible,adamant,"I refuse to budge from my position, even when it becomes clear I might be wrong."
BAP361,patient,restless,"I feel a continuous, underlying urge to be constantly moving or doing something new."
BAP362,brave,timid,"I frequently back away from confrontations or challenges out of fear."
BAP363,generous,possessive,"I feel an intense need to own and control every material possession I acquire."
BAP364,modest,egotistical,"I am highly self-important and expect others to recognize my superior value."
BAP365,logical,sentimental,"I make decisions based primarily on deep emotional attachment and past memories."
BAP366,open-minded,intolerant,"I am extremely resistant to new ideas and beliefs that differ from my own."
BAP367,diligent,slothful,"I always look for the easiest path and avoid any activity that requires effort."
BAP368,assertive,passive,"I almost never express a strong opinion or take a firm stand in a group setting."
BAP369,clear,muddled,"I often struggle to organize my thoughts, resulting in confused communication."
BAP370,kind,antagonistic,"I frequently challenge and argue against the points made by others."
BAP371,cautious,risky,"I often make decisions that involve a significant element of danger or uncertainty."
BAP372,humble,arrogant,"I am openly boastful about my superiority and success."
